ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.78.186.220","elite","AS131090","TH","CAT-BB","191","N/A","4145","socks4","870","1","2025-04-06T14:49:51.579Z","68","6317","9336"
"51.38.240.160","elite","AS16276","FR","OVH SAS","14","De Faria Edward","3128","socks4","1499","1","2025-04-06T14:49:51.583Z","100","2230","2231"
"113.74.26.114","elite","AS4134","CN","Chinanet","250","Chinanet GD","4145","socks4","3685","1","2025-04-06T14:49:51.581Z","90","8450","9392"
"76.81.6.107","elite","AS20001","US","Spectrum","156","Road Runner","31008","socks4","1990","1","2025-04-06T14:49:51.588Z","99","2714","2734"
"103.79.96.217","elite","AS64308","ID","PT IndoDev Niaga Internet","177","PT IndoDev Niaga Internet","4153","socks4","2099","1","2025-04-06T14:49:51.580Z","99","9320","9408"
"14.185.53.138","elite","AS45899","VN","VNPT","274","Vietnam Posts and Telecommunications Group","1080","socks5","4303","1","2025-04-06T14:49:51.587Z","30","776","2581"
"119.28.78.224","elite","AS132203","HK","ComsenzNet","301","Tencent cloud computing (Beijing) Co., Ltd.","29900","socks4","3210","1","2025-04-06T14:49:51.589Z","22","2116","9466"
"5.9.167.130","elite","AS24940","DE","Hetzner","8","B&W-NetworX GmbH & Co. KG","30000","socks4","345","1","2025-04-06T14:49:51.677Z","100","9397","9407"
"185.169.181.27","elite","AS34984","TR","Ates Dc","48","Ibrahim MALA trading as Ates Dc","4145","socks4","4265","1","2025-04-06T14:49:51.678Z","100","9402","9429"
"103.204.55.221","elite","AS59165","IN","RB5","148","N/A","1080","socks4","4902","1","2025-04-06T14:49:51.589Z","99","2496","2530"
"90.210.1.20","elite","AS5607","GB","Sky UK Limited","21","Sky Broadband","8080","socks4","3072","1","2025-04-06T14:49:51.584Z","73","1092","1494"
"128.199.165.63","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","49093","socks4","1801","1","2025-04-06T14:49:51.590Z","98","2684","2728"
"1.179.148.9","elite","AS131293","TH","TOT Public Company Limited","203","TOT Public Company Limited","36476","socks4","2887","1","2025-04-06T14:49:51.577Z","95","1115","1170"
"45.131.4.46","elite","AS209242","IR","Cloudflare London, LLC","11","Cloudhop","80","socks4","4809","1","2025-04-06T14:49:51.578Z","100","1819","1819"
"2.81.216.239","elite","AS3243","PT","PT Comunicacoes S.A","50","PT Comunicacoes S.A.","4153","socks4","420","1","2025-04-06T14:49:51.586Z","100","9386","9410"
"87.250.109.174","elite","AS35567","BA","DASTO Semtel doo","45","N/A","8080","socks4","4300","1","2025-04-06T14:49:51.678Z","99","9273","9396"
"93.184.8.22","elite","AS47253","IL","BNET network","61","N/A","1080","socks5","4617","1","2025-04-06T14:49:30.482Z","100","2513","2518"
"45.138.87.238","elite","AS206804","RO","EstNOC OY","36","ESTNOC-GLOBAL","1080","socks4","2886","1","2025-04-06T14:49:30.576Z","99","2271","2300"
"221.153.92.39","elite","AS4766","KR","Korea Telecom","269","Kornet","80","socks4","1404","1","2025-04-06T14:49:30.490Z","97","1389","1435"
"50.63.26.13","elite","AS398101","US","GoDaddy.com, LLC","142","GoDaddy.com, LLC","53887","socks4","1931","1","2025-04-06T14:49:30.484Z","100","9432","9442"
"5.202.46.148","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","124","PTE","4145","socks4","1205","1","2025-04-06T14:49:30.492Z","96","1643","1707"
"72.167.54.228","elite","AS26496","US","GoDaddy.com, LLC","199","GoDaddy.com, LLC","6733","socks4","3196","1","2025-04-06T14:49:30.488Z","100","1186","1188"
"172.67.70.65","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks4","4191","1","2025-04-06T14:49:30.485Z","100","2694","2695"
"62.112.10.47","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","19679","socks4","1600","1","2025-04-06T14:49:30.578Z","97","2101","2159"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","8","ONLINE","8811","socks4","4769","1","2025-04-06T14:49:30.481Z","63","6004","9487"
"166.62.41.113","elite","AS398101","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","40204","socks4","1734","1","2025-04-06T14:49:30.499Z","100","2583","2584"
"84.239.49.192","elite","AS44679","RO","INVITE Systems SRL","31","INVITE Systems SRL","9002","socks5","406","2","2025-04-06T14:49:30.487Z","99","1863","1880"
"167.99.182.227","elite","AS14061","CA","DigitalOcean, LLC","154","DigitalOcean, LLC","39031","socks4","5113","1","2025-04-06T14:49:30.487Z","93","8709","9340"
"103.121.89.75","elite","AS135967","VN","Cau Giay Branch of Bach Kim Network solutions Join stock company","291","BKNS-CG","39267","socks5","4719","1","2025-04-06T14:49:30.486Z","88","8265","9404"
"186.103.143.214","elite","AS15311","CL","Telefonica Empresas Chile SA","218","Fundacion educacional colegio Santa Maria de Cerve","4153","socks4","3693","1","2025-04-06T14:49:30.489Z","26","2467","9509"
"45.91.93.166","elite","AS63473","GB","HostHatch","15","HostHatch, LLC","33434","socks4","1191","1","2025-04-06T14:49:30.577Z","97","2643","2732"
"27.75.155.229","elite","AS7552","VN","Newass2011xDSLHN","283","N/A","1080","socks4","4695","1","2025-04-06T14:49:30.490Z","86","2168","2531"
"202.159.35.73","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","1490","1","2025-04-06T14:49:30.476Z","99","9286","9391"
"51.79.248.215","elite","AS16276","SG","OVH SAS","268","OVH Singapore PTE. LTD","25693","socks4","486","1","2025-04-06T14:49:30.477Z","100","9400","9428"
"37.143.62.214","elite","AS61317","DE","Hivelocity Inc","3","Ipxo Limited","5432","socks4","195","2","2025-04-06T14:49:30.475Z","100","52","52"
"124.222.119.189","elite","AS45090","CN","China Internet Network Information Center","223","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks5","2598","1","2025-04-06T14:49:30.491Z","81","7636","9407"
"181.174.130.165","elite","AS52308","AR","Aguas Del Colorado Sapem","274","Cooperativa de Obras y Servicios Publicos de Macachin Limitada","5678","socks4","3493","1","2025-04-06T14:49:30.477Z","99","9290","9405"
"196.216.67.2","elite","AS30844","KE","Liquid Telecommunications Ltd","172","LTK KE SME","5678","socks5","1384","1","2025-04-06T14:49:30.499Z","91","8604","9433"
"50.96.204.8","elite","AS7029","US","Windstream Communications LLC","114","Windstream Communications LLC","18351","socks4","4010","1","2025-04-06T14:49:30.497Z","100","2692","2702"
"86.100.63.127","elite","AS39007","LT","Balticum TV network","31","N/A","4145","socks4","4820","1","2025-04-06T14:49:30.495Z","83","2224","2674"
"177.104.192.122","elite","AS262632","BR","Grajaunet Telecomunicacoes Eireli","205","Grajaunet Telecomunicacoes Eireli","41443","socks4","989","1","2025-04-06T14:49:30.479Z","100","9396","9428"
"45.6.95.67","elite","AS266129","BR","LOCALLINK TELECOMUNICAÇÕES LTDA - ME","191","LOCALLINK TELECOMUNICAÇÕES LTDA - ME","4153","socks4","1866","1","2025-04-06T14:49:30.491Z","98","640","651"
"138.201.21.238","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","24694","socks4","4890","1","2025-04-06T14:49:30.577Z","82","2135","2619"
"45.131.6.31","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","socks4","815","1","2025-04-06T14:49:30.480Z","100","1080","1080"
"197.254.7.86","elite","AS15808","KE","ACCESSKENYA","163","N/A","4145","socks4","1896","1","2025-04-06T14:49:30.494Z","97","9207","9488"
"213.6.227.38","elite","AS12975","PS","Palestine Telecommunications Company","83","Paltel DSL","34081","socks4","180","1","2025-04-06T14:49:11.273Z","99","9245","9352"
"200.116.198.177","elite","AS13489","CO","UNE EPM TELECOMUNICACIONES S.A","189","Mpio Manizales","32072","socks4","4620","1","2025-04-06T14:49:11.264Z","85","2256","2657"
"43.153.3.241","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks4","1105","1","2025-04-06T14:49:11.271Z","94","8864","9388"
"185.215.53.217","elite","AS205368","AM","Fnet LLC","59","N/A","3629","socks4","5105","1","2025-04-06T14:49:11.273Z","100","2687","2688"
"95.31.245.7","elite","AS8402","RU","Corbina Broadband Volgograd","70","N/A","60606","socks4","967","1","2025-04-06T14:49:11.291Z","56","884","1568"
"81.12.28.9","elite","AS58224","IR","Iran Telecommunication Company PJS","81","Soroush Rasanheh Company Ltd","8080","socks4","3997","1","2025-04-06T14:49:11.290Z","90","8423","9392"
"207.55.243.80","elite","AS11989","US","HostPapa","89","HostPapa","56907","socks5","2690","1","2025-04-06T14:49:11.268Z","88","2218","2528"
"103.81.85.121","elite","AS140825","VN","Thien Quang Digital technology joint stock company","294","HOSTINGVIET","1234","socks5","2394","1","2025-04-06T14:49:11.270Z","78","2127","2730"
"91.224.179.175","elite","AS197602","UA","TeleRadioCompany \"Studio TV-9 Beregsasom\" Ltd.","30","TV9 net 2","5678","socks4","4097","1","2025-04-06T14:49:11.274Z","90","2455","2729"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","5391","64","2025-04-06T14:49:11.267Z","100","9377","9377"
"178.45.234.6","elite","AS12389","RU","Dynamic IP Poools customers in the","53","Branch in Mordovian Republic Open Joint-Stock Company","7788","socks5","2013","1","2025-04-06T14:49:11.290Z","56","1413","2524"
"103.126.173.201","elite","AS138112","ID","MEGARAP","178","N/A","1080","socks4","90","1","2025-04-06T14:49:11.265Z","88","2410","2736"
"38.127.179.194","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks4","4887","1","2025-04-06T14:48:42.978Z","100","9423","9439"
